"Notes"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Pre-pregnancy Weight"	"Mother's Pre-pregnancy Weight Code"	"Mother's Weight Gain"	"Mother's Weight Gain Code"	Births
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"0 lbs"	"0"	12
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"1 lbs"	"1"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"2 lbs"	"2"	3
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"3 lbs"	"3"	7
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"4 lbs"	"4"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"5 lbs"	"5"	4
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"6 lbs"	"6"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"7 lbs"	"7"	3
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"8 lbs"	"8"	7
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"9 lbs"	"9"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"10 lbs"	"10"	13
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"11 lbs"	"11"	7
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"12 lbs"	"12"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"13 lbs"	"13"	11
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"14 lbs"	"14"	8
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"15 lbs"	"15"	18
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"16 lbs"	"16"	12
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"17 lbs"	"17"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"18 lbs"	"18"	15
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"19 lbs"	"19"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"20 lbs"	"20"	29
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"21 lbs"	"21"	18
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"22 lbs"	"22"	20
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"23 lbs"	"23"	17
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"24 lbs"	"24"	23
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"25 lbs"	"25"	26
