full_name,gender,type,party,birthday,yrs,age
Sherrod Brown,M,Senate,Dem,1952-11-09,68,60s
Maria Cantwell,F,Senate,Dem,1958-10-13,62,60s
Benjamin L. Cardin,M,Senate,Dem,1943-10-05,77,70s
Thomas R. Carper,M,Senate,Dem,1947-01-23,74,70s
"Robert P. Casey, Jr.",M,Senate,Dem,1960-04-13,61,60s
Dianne Feinstein,F,Senate,Dem,1933-06-22,88,80s
Amy Klobuchar,F,Senate,Dem,1960-05-25,61,60s
Robert Menendez,M,Senate,Dem,1954-01-01,67,60s
Bernard Sanders,M,Senate,Ind,1941-09-08,79,70s
Debbie Stabenow,F,Senate,Dem,1950-04-29,71,70s
Jon Tester,M,Senate,Dem,1956-08-21,64,60s
Sheldon Whitehouse,M,Senate,Dem,1955-10-20,65,60s
John Barrasso,M,Senate,Rep,1952-07-21,68,60s
Roger F. Wicker,M,Senate,Rep,1951-07-05,70,70s
Susan M. Collins,F,Senate,Rep,1952-12-07,68,60s
John Cornyn,M,Senate,Rep,1952-02-02,69,60s
Richard J. Durbin,M,Senate,Dem,1944-11-21,76,70s
Lindsey Graham,M,Senate,Rep,1955-07-09,65,60s
James M. Inhofe,M,Senate,Rep,1934-11-17,86,80s
Mitch McConnell,M,Senate,Rep,1942-02-20,79,70s
Jeff Merkley,M,Senate,Dem,1956-10-24,64,60s
Jack Reed,M,Senate,Dem,1949-11-12,71,70s
James E. Risch,M,Senate,Rep,1943-05-03,78,70s
Jeanne Shaheen,F,Senate,Dem,1947-01-28,74,70s
Mark R. Warner,M,Senate,Dem,1954-12-15,66,60s
Kirsten E. Gillibrand,F,Senate,Dem,1966-12-09,54,50s
Christopher A. Coons,M,Senate,Dem,1963-09-09,57,50s
"Joe Manchin, III",M,Senate,Dem,1947-08-24,73,70s
Robert B. Aderholt,M,House,Rep,1965-07-22,55,50s
Tammy Baldwin,F,Senate,Dem,1962-02-11,59,50s
Karen Bass,F,House,Dem,1953-10-03,67,60s
Michael F. Bennet,M,Senate,Dem,1964-11-28,56,50s
Gus M. Bilirakis,M,House,Rep,1963-02-08,58,50s
"Sanford D. Bishop, Jr.",M,House,Dem,1947-02-04,74,70s
Marsha Blackburn,F,Senate,Rep,1952-06-06,69,60s
Earl Blumenauer,M,House,Dem,1948-08-16,72,70s
Richard Blumenthal,M,Senate,Dem,1946-02-13,75,70s
Roy Blunt,M,Senate,Rep,1950-01-10,71,70s
John Boozman,M,Senate,Rep,1950-12-10,70,70s
Kevin Brady,M,House,Rep,1955-04-11,66,60s
Mo Brooks,M,House,Rep,1954-04-29,67,60s
Vern Buchanan,M,House,Rep,1951-05-08,70,70s
Larry Bucshon,M,House,Rep,1962-05-31,59,50s
Michael C. Burgess,M,House,Rep,1950-12-23,70,70s
Richard Burr,M,Senate,Rep,1955-11-30,65,60s
G. K. Butterfield,M,House,Dem,1947-04-27,74,70s
Ken Calvert,M,House,Rep,1953-06-08,68,60s
Shelley Moore Capito,F,Senate,Rep,1953-11-26,67,60s
André Carson,M,House,Dem,1974-10-16,46,40s
John R. Carter,M,House,Rep,1941-11-06,79,70s
Bill Cassidy,M,Senate,Rep,1957-09-28,63,60s
Kathy Castor,F,House,Dem,1966-08-20,54,50s
Steve Chabot,M,House,Rep,1953-01-22,68,60s
Judy Chu,F,House,Dem,1953-07-07,67,60s
David N. Cicilline,M,House,Dem,1961-07-15,59,50s
Yvette D. Clarke,F,House,Dem,1964-11-21,56,50s
Emanuel Cleaver,M,House,Dem,1944-10-26,76,70s
James E. Clyburn,M,House,Dem,1940-07-21,80,80s
Steve Cohen,M,House,Dem,1949-05-24,72,70s
Tom Cole,M,House,Rep,1949-04-28,72,70s
Gerald E. Connolly,M,House,Dem,1950-03-30,71,70s
Jim Cooper,M,House,Dem,1954-06-19,67,60s
Jim Costa,M,House,Dem,1952-04-13,69,60s
Joe Courtney,M,House,Dem,1953-04-06,68,60s
Mike Crapo,M,Senate,Rep,1951-05-20,70,70s
"Eric A. ""Rick"" Crawford",M,House,Rep,1966-01-22,55,50s
Henry Cuellar,M,House,Dem,1955-09-19,65,60s
Danny K. Davis,M,House,Dem,1941-09-06,79,70s
Peter A. DeFazio,M,House,Dem,1947-05-27,74,70s
Diana DeGette,F,House,Dem,1957-07-29,63,60s
Rosa L. DeLauro,F,House,Dem,1943-03-02,78,70s
Scott DesJarlais,M,House,Rep,1964-02-21,57,50s
Theodore E. Deutch,M,House,Dem,1966-05-07,55,50s
Mario Diaz-Balart,M,House,Rep,1961-09-25,59,50s
Lloyd Doggett,M,House,Dem,1946-10-06,74,70s
Michael F. Doyle,M,House,Dem,1953-08-05,67,60s
Jeff Duncan,M,House,Rep,1966-01-07,55,50s
Anna G. Eshoo,F,House,Dem,1942-12-13,78,70s
"Charles J. ""Chuck"" Fleischmann",M,House,Rep,1962-10-11,58,50s
Jeff Fortenberry,M,House,Rep,1960-12-27,60,60s
Virginia Foxx,F,House,Rep,1943-06-29,78,70s
John Garamendi,M,House,Dem,1945-01-24,76,70s
Bob Gibbs,M,House,Rep,1954-06-14,67,60s
Louie Gohmert,M,House,Rep,1953-08-18,67,60s
Paul A. Gosar,M,House,Rep,1958-11-22,62,60s
Kay Granger,F,House,Rep,1943-01-18,78,70s
Chuck Grassley,M,Senate,Rep,1933-09-17,87,80s
Sam Graves,M,House,Rep,1963-11-07,57,50s
Al Green,M,House,Dem,1947-09-01,73,70s
H. Morgan Griffith,M,House,Rep,1958-03-15,63,60s
Raúl M. Grijalva,M,House,Dem,1948-02-19,73,70s
Brett Guthrie,M,House,Rep,1964-02-18,57,50s
Andy Harris,M,House,Rep,1957-01-25,64,60s
Vicky Hartzler,F,House,Rep,1960-10-13,60,60s
Martin Heinrich,M,Senate,Dem,1971-10-17,49,40s
Jaime Herrera Beutler,F,House,Rep,1978-11-03,42,40s
Brian Higgins,M,House,Dem,1959-10-06,61,60s
James A. Himes,M,House,Dem,1966-07-05,55,50s
Mazie K. Hirono,F,Senate,Dem,1947-11-03,73,70s
John Hoeven,M,Senate,Rep,1957-03-13,64,60s
Steny H. Hoyer,M,House,Dem,1939-06-14,82,80s
Bill Huizenga,M,House,Rep,1969-01-31,52,50s
Sheila Jackson Lee,F,House,Dem,1950-01-12,71,70s
Bill Johnson,M,House,Rep,1954-11-10,66,60s
